train,val
0.0988395057316753,0.08789940327982101
0.036776620788563044,0.05224397927529138
0.006398688442784712,0.005172470906840296
0.009092196664038262,0.010550395835513177
0.014213012797644711,0.01296672307139793
0.026789991070434185,0.027064470333851093
0.021529949709914814,0.03407264577985521
0.01658921208340948,0.015108352877514712
0.008285412407542502,0.006250136940208484
0.007517652381158116,0.006931711833014095
0.050254284523359116,0.04007008330234592
0.03686151096930589,0.020557156263218287
0.033912738350219254,0.03420939772485955
0.01133497802904989,0.006658268647246142
0.0178769694550136,0.010439005923165557
0.04145062412181437,0.026834370596076018
0.02826567476326579,0.02181821279703807
0.006472212454582445,0.0065344038917009885
0.017499860731006088,0.0169129753132065
0.008870150513868528,0.005629660013642474
0.014913038508258685,0.0072512830202717425
0.008635722232962051,0.00695486310403283
0.022910295998689923,0.02846124111166505
0.01792677868037782,0.008923770234357883
