train,val
0.07601827010512352,0.09294126182794571
0.03591239328185717,0.05265411362051964
0.006942708821346362,0.005144833587110043
0.009543801036973795,0.010662950575351715
0.01589103927835822,0.013669661246240139
0.026791866247852642,0.027336619794368744
0.02450627014040947,0.036064375191926956
0.0166728213429451,0.015392552129924297
0.008599746196220318,0.0061883225571364164
0.007930880784988404,0.0070607042871415615
0.047204966760343976,0.039447009563446045
0.034146616235375404,0.021188664250075817
0.03233239323728614,0.032122411765158176
0.011525885667651892,0.006635635392740369
0.017489527072757482,0.01032670121639967
0.03790958225727081,0.027314666658639908
0.027332772585478695,0.021849971264600754
0.006604286164722659,0.006474820431321859
0.017669459550895474,0.017051586881279945
0.009044607804918831,0.005583102349191904
0.014820406041843327,0.007273129387093442
0.008644364983774721,0.006696137308608741
0.02172178588807583,0.028981235809624195
0.01590262363223653,0.00881898240186274
