train,val
0.10761301219463348,0.08768519759178162
0.03998527179161707,0.05282701551914215
0.007818675444771847,0.005705437157303095
0.010074544697999954,0.01072484441101551
0.01676370482891798,0.012739374302327633
0.029049171445270378,0.027288392186164856
0.029441210627555846,0.03475208207964897
0.01741277687251568,0.014956658706068993
0.008807544053221742,0.006362587679177523
0.008097720332443714,0.006888795644044876
0.0534266730149587,0.03936200402677059
0.038627251154846616,0.020633424632251263
0.035616915259096354,0.03144158702343702
0.01203392876777798,0.006497248541563749
0.018806928768754005,0.010355071164667606
0.043070480972528455,0.026674081571400166
0.030886958945881237,0.021625149995088577
0.0066903841004452924,0.006430623820051551
0.01833771363916722,0.016719270031899214
0.009203642395071009,0.00546214752830565
0.015535655480466391,0.00775382195466331
0.009252514864783734,0.006794267799705267
0.023389302720518215,0.028370188549160957
0.018314090140752103,0.00863989896606654
