train,val
0.05333846993744373,0.10541445016860962
0.037882319341103234,0.059613317251205444
0.007252447151889403,0.005394076928496361
0.01003556822737058,0.010693907737731934
0.016704676672816277,0.014040783047676086
0.028331669978797436,0.028229130432009697
0.029098593071103095,0.03820819780230522
0.017204161174595355,0.015449265949428082
0.008985073616107305,0.0061752330511808395
0.008392451517283916,0.007161007262766361
0.054158644957674876,0.039467787370085716
0.03755103134446674,0.021011995151638985
0.03527219076123503,0.03197217732667923
0.011848160065710545,0.0066019208170473576
0.018985438998788594,0.010308427270501852
0.042418853379786015,0.027426238171756268
0.02931434085423296,0.02164387982338667
0.00676138305359266,0.006632580421864986
0.01839676998894323,0.01729364786297083
0.009603568818420172,0.005847470136359334
0.015256465522964535,0.007396668794431857
0.00890746550867334,0.006716820353176445
0.02336570349238489,0.028431347105652094
0.018278725469779027,0.00874813657719642
