train,test
0.4192691074775543,0.4776051485443943
0.5512715651021589,0.9670692734367201
0.5704226292157994,0.5723821946670228
0.4943670801709165,0.5520670835215182
0.406910775068723,0.38628757516012135
0.5946378997370156,0.693233331854394
0.5538422217283312,0.8387524940423599
0.5129756636136815,0.47453442577413446
0.6535407473381898,0.6111740742505485
0.5916844033456929,0.6728116200384897
0.5931179222430558,0.6246772825282134
0.5484949065926874,0.4282977877636452
0.5292970746249208,0.5647545084844513
0.6123188359375664,0.44318650636804713
0.6064087030009728,0.45929960628791167
0.5407297484561965,0.3919202876481251
0.5793005348610855,0.684214280664782
0.546312441936273,0.47001029581875586
0.6347289432811782,0.5960802897185822
0.5989234648275361,0.41376592199658674
0.4096981698377113,0.20921401493353853
0.571761924570328,0.4839793103373297
0.6825612190324195,0.6634253249932627
0.46372244864885637,0.3280453806613545
