train,test
0.5705976005529405,0.495936914983925
0.7906638254047553,1.2479540067632215
0.6865303624407124,0.5589616515091492
0.7183084484047211,0.5920065674247412
0.64538927090309,0.4586054053018275
0.7170679586561128,0.7526422049527296
0.7233984971455265,0.9544777322826088
0.6587851940367666,0.531267858974961
0.7518214702351398,0.6440745649911239
0.7416300429983089,0.7444720302010077
0.554201114247848,0.5453133001746481
0.6477365802668988,0.4620950986109732
0.6566237313754806,0.650461006612295
0.6681783980748504,0.4489827860531509
0.6808225869697382,0.4732200046602029
0.602612144084566,0.4076271493397299
0.6549016919492303,0.7335707730095424
0.6762183206161326,0.5347153713233067
0.700218234388386,0.6161000091948627
0.6873995468928347,0.43388317242769614
0.23414123980959628,0.11952708652504015
0.6637935361230641,0.5552635170077036
0.7407504264093686,0.6992894731581479
0.5869664906817742,0.3742695078924564
