train,test
0.5435892790555954,0.54209965467453
0.8270176847775778,0.9425464868545532
0.7041410207748413,0.5689220428466797
0.7249805927276611,0.6068865656852722
0.6058879792690277,0.45383521914482117
0.7171173453330993,0.7689958214759827
0.7647099792957306,1.0203015506267548
0.6623397022485733,0.5429511666297913
0.7571945428848267,0.6169847647349039
0.7418684959411621,0.7264038622379303
0.5365933477878571,0.506879135966301
0.6224485337734222,0.4362354129552841
0.6309031173586845,0.5949422046542168
0.6457414031028748,0.43510739008585614
0.6705733276903629,0.44167160987854004
0.6341570748223199,0.39226602762937546
0.6508426136440701,0.7145165875554085
0.6743515829245249,0.5328141897916794
0.6986731555726793,0.6126011162996292
0.6749291718006134,0.41738466173410416
0.27179400296881795,0.15279420518449374
0.6702570246927666,0.543247272570928
0.7445663103931829,0.7015659771859646
0.5903529584407806,0.366765490600041
