train,test
0.4551696792367407,0.460470602310324
0.5409159536326564,0.9238519972039024
0.6099430898749105,0.5668185352340493
0.6302642027246494,0.6036037557162195
0.550001437018047,0.46924459526660023
0.6109781667128318,0.6904009339140769
0.5856537384808643,0.8353120593180834
0.5508834626020176,0.48106388387647303
0.69311364731957,0.629294993384431
0.6861136063149611,0.7566039204390955
0.6121696371455706,0.6331751517173319
0.5661686622992493,0.42644868716920525
0.5439640073507215,0.565654813393387
0.6468779767267319,0.45658979849977355
0.6395846526366398,0.4664283248267977
0.5569917316854089,0.39352750212932663
0.5989970473851234,0.703203902479455
0.5751669524971424,0.47628083650751074
0.6511023525118309,0.60088112250633
0.6319015185328567,0.418159779330702
0.40508894411967555,0.20609888037861832
0.6049325068191428,0.5087924238667741
0.6961176064893092,0.6728913186911267
0.48094284391521197,0.3234947730970191
