train,test
0.39266954399588516,0.3725091337596058
0.5327169270857809,0.9044217976217865
0.5762583844881217,0.5119876248562301
0.588566339601027,0.5350551802569065
0.5314240151607013,0.40696223602121684
0.5733070050802087,0.6320379544444451
0.5414358874210758,0.771274521519554
0.5308209750931543,0.4514637872366499
0.6510222534537909,0.5836922349174817
0.6157591029340191,0.6641309797338112
0.588341715310258,0.6044140241837402
0.5411490473749854,0.41200672511994774
0.5292334388927556,0.5530587776994584
0.5804922537621942,0.4188585753794068
0.5761994349605177,0.4273958347888962
0.5371483760567111,0.3801038815022171
0.5511079375414307,0.629519997618488
0.5180406757918354,0.43483315091008323
0.6155737948781819,0.5600560368995451
0.5588188436298979,0.37966851316326067
0.300235459831628,0.15171347828552556
0.4782814058195393,0.3922727419377377
0.6752558849142565,0.6531928859147603
0.442013525593255,0.3100025046946324
