train,val
0.04299928620457649,0.09553902596235275
0.034737035632133484,0.0577583909034729
0.007313713897019625,0.0054608541540801525
0.010091571447749933,0.01081530936062336
0.0158067112788558,0.0141794728115201
0.027944813172022503,0.02861202508211136
0.027533545345067977,0.037445973604917526
0.016803331300616266,0.015673236921429634
0.009009471939255794,0.006061585154384375
0.008441495522856713,0.007223269436508417
0.0509502746992641,0.04000464268028736
0.035812276105086006,0.020886201411485672
0.03362286960085233,0.03203243296593428
0.011749354074709117,0.006637847051024437
0.01852165637537837,0.010446077212691307
0.04027140736579895,0.027284150943160057
0.028827551075003365,0.021807612851262093
0.006775990170849996,0.006652580574154854
0.01833493279462511,0.01733215991407633
0.009689963338049975,0.0059223363641649485
0.015268723590691624,0.007321483987782683
0.008999388432130218,0.006780782307032496
0.023337637195768562,0.028543131425976753
0.017383959585506665,0.008791709900833666
