kl_div,sj_div
0.0004836085971868805,0.00012642136871631932
0.0011427597214362347,0.0002898029937991626
0.013708894274194257,0.003656901105967104
0.015314006212145369,0.003689507631677692
0.03882639316487374,0.010776431346516915
0.00033701088842090667,8.519859291683447e-05
0.00020698108716006152,5.1841738654173085e-05
0.00015750051406832817,3.933600617983273e-05
0.0016992206925110446,0.00043523707585403767
0.0298480787245044,0.008099855788994146
0.026570873882866535,0.007283092276883459
0.0006758888359597746,0.00016920465241449618
0.00010634623978883156,2.6594273477635604e-05
0.0022115829184191855,0.0005707823921335603
0.004300701262199378,0.0010502680594777207
0.0006113195641941428,0.00015488431889581475
0.0003725672462561511,9.268695396213402e-05
0.0004714612276209379,0.0001181540251106254
0.0012085386090671872,0.0003047763400723216
0.004451742589819682,0.0011630122079274263
0.002021638132104471,0.0004933290929421061
0.0038160890568044413,0.000977025989475317
0.0048172662164053,0.0011646707139340248
0.004937943049102121,0.001275528099955889
