train,test
0.2839076891541481,0.4841673970222473
0.3207463522752126,0.7362737208604813
0.2643931706746419,0.6461139917373657
0.20063621550798416,0.7239977121353149
0.18939536809921265,0.5892677903175354
0.40863676071166993,0.7147764265537262
0.41374319791793823,0.9185154438018799
0.34632231295108795,0.5077514201402664
0.3842129111289978,0.58975750207901
0.4036954790353775,0.7789065539836884
0.3560752607882023,0.6422428414225578
0.3999287448823452,0.4340653344988823
0.3899582251906395,0.5847790017724037
0.4678953928606851,0.44919755061467487
0.45767292380332947,0.4320671260356903
0.48379743761486477,0.4032767713069916
0.515582905875312,0.6481083109974861
0.4423534737692939,0.45327795296907425
0.4971897304058075,0.6009579449892044
0.47450748748249477,0.3898867666721344
0.31750171445310116,0.15518903200115478
0.5027297581687118,0.3941964348157247
0.6244211573349802,0.6761425174772739
0.38234485387802125,0.3114389330148697
