train,test
0.19787601940333843,0.5082648396492004
0.3392236332098643,0.7079529017210007
0.3041059697667758,0.6652947664260864
0.30083201825618744,0.7360950112342834
0.2789757028222084,0.5395439267158508
0.31913799345493316,0.8505125641822815
0.3152100183069706,0.9676997065544128
0.29224710166454315,0.574544370174408
0.3443475902080536,0.6906651059786478
0.3177557587623596,0.8755089044570923
0.37008901685476303,0.6570601090788841
0.3068774398416281,0.46979328989982605
0.30915280524641275,0.5998988822102547
0.32610432377883364,0.524766594171524
0.36166948452591896,0.5083873048424721
0.367029650343789,0.42380300909280777
0.3443550235695309,0.7821284383535385
0.3485545367002487,0.5312931835651398
0.3665200471878052,0.6949272304773331
0.3703334861331516,0.4610675871372223
0.3912786659784615,0.20457372601543153
0.5210167666276296,0.505860569079717
0.4427421696876225,0.7472381219267845
0.33355039258797964,0.33430035412311554
