train,test
0.15004383772611618,0.5828879475593567
0.11478640884160995,0.7357212007045746
0.1276481474439303,0.6526840925216675
0.10549279674887657,0.6811903715133667
0.09763499721884727,0.46719008684158325
0.10917669087648392,0.8167841136455536
0.12991096451878548,0.9803167283535004
0.11692316643893719,0.5921558737754822
0.12485477775335312,0.672295073668162
0.11501871421933174,0.797964870929718
0.1739568766206503,0.7106724455952644
0.2287814673036337,0.47544272243976593
0.21562455408275127,0.6364595144987106
0.26897419137614115,0.49685638149579364
0.2757358383387327,0.5303112044930458
0.4087969164053599,0.42675119638442993
0.22328211698267195,0.7586259320378304
0.2977229787243737,0.5174281969666481
0.21069415575928158,0.7296674698591232
0.37413378556569415,0.4357801452279091
0.40127468341961503,0.20777019006865366
0.5717523061867916,0.4751205384731293
0.5641549151194724,0.7085863091051579
0.3885567635297775,0.322188424212592
