train,val
0.472414447407477,0.4156479829277657
0.4673385304328088,0.6777075263474912
0.4991501964867769,0.3884854344428356
0.5576655861371456,0.6011950560212238
0.5258843738212344,0.44704001474100896
0.5428999737247002,0.5439649640159456
0.5497361874432269,0.8651841819236795
0.5355060595106209,0.478801936376283
0.6126725190400838,0.4482768803656117
0.5810299152064772,0.512053773543315
0.6146213646426646,0.48384065519324926
0.5564821867522125,0.313480507316827
0.5462842853676411,0.5503344804341775
0.5794021248828838,0.34392428935947855
0.5807505140736255,0.3415349530957658
0.544800046985519,0.3525574584093807
0.528634207581134,0.40704937354552917
0.5037438492872852,0.5140104587281425
0.6286988854689678,0.605672682840968
0.5373052565498087,0.34196890510990174
0.4182823530773326,0.2026504842302026
0.3942412702353845,0.3141626092830401
0.6541220444010991,0.8117790116441128
0.4563462909896075,0.23352304789286468
