train,test
0.5399997681379318,0.5369690656661987
0.8218766252199808,0.929135650396347
0.7037610610326132,0.5645192265510559
0.7239434123039246,0.6051509976387024
0.6056286096572876,0.45083755254745483
0.7249199271202087,0.7752843499183655
0.7686007767915726,1.0275514721870422
0.660145714879036,0.5406306385993958
0.7586912989616394,0.6183743079503378
0.7447809875011444,0.7281526327133179
0.5368947796523571,0.507084921002388
0.6225552558898926,0.43615976721048355
0.6306326277554035,0.5939633026719093
0.6472753116062709,0.43623635172843933
0.6695150695741177,0.4412989467382431
0.635792420970069,0.39255113154649734
0.6511884894635942,0.7148876935243607
0.673900306224823,0.5320146754384041
0.6995766162872314,0.6130369454622269
0.6742460760805342,0.41704679280519485
0.2763677197508514,0.15827381504433496
0.6688563643079816,0.5426296214262645
0.7437056083428232,0.7011035270988941
0.5909349660078684,0.36842995030539377
