kl_div,kstest_pval
3.9805606901041566,0.0
3.3048505069860474,0.0
0.7634624823370415,0.0
1.4507410240349745,0.0
2.713163688559954,0.0
3.230684671085805,0.0
2.354666449764122,0.0
5.540616296993267,0.0
2.085944814204778,0.0
2.255369758321046,0.0
1.489552307993693,0.0
1.3833073772454958,0.0
0.2949644967443665,0.0
6.062255833398275,0.0
2.960655226957654,0.0
1.224666598534305,0.0
2.524581404333901,0.0
1.7116571026492005,0.0
1.2759277189075846,0.0
1.7692877296719172,0.0
6.945338134709578,0.0
5.083874410911036,0.0
1.510307557404261,0.0
2.0032128795798583,0.0
4.406247496993862,1.1598599879808203e-155
2.0037357530901265,0.0
3.8143787264471785,0.0
5.7064661241791965,0.0
2.2675543115167276,0.0
6.952696217439547,0.0
