train,test
0.16566815972328186,0.558593213558197
0.1895222912232081,0.8112404942512512
0.24506431818008423,0.6935093402862549
0.15342990309000015,0.6970542669296265
0.12388695031404495,0.48503953218460083
0.2757977694272995,0.8475994765758514
0.24680794402956963,0.9749784469604492
0.2173885740339756,0.5799757540225983
0.30886733531951904,0.6607522765795389
0.2517354302108288,0.7541792094707489
0.38291193172335625,0.6281066685914993
0.32825440913438797,0.4598536342382431
0.34164662659168243,0.5808025002479553
0.3508010187319347,0.4910944600900014
0.3867180272936821,0.490529365837574
0.42101248105367023,0.4072386547923088
0.3781363070011139,0.7436440661549568
0.38702284627490574,0.505531057715416
0.41756703125105965,0.6572542041540146
0.41626786192258197,0.4369470477104187
0.4021858172491193,0.20777953203235353
0.569580923427235,0.475101645787557
0.5812276256711859,0.6886309869587421
0.40310316185156503,0.32262274410043446
