train,val
0.5581620788603382,0.42703556650480246
0.7406758124535515,0.9862884430025866
0.7078966500998958,0.5058399773633997
0.7131427472027942,0.722834310710203
0.6287411470430859,0.4850682318406551
0.6676337978540728,0.6423952676044954
0.7229046373865335,1.0700081309955045
0.7087365816147391,0.5972057723694857
0.7726383208810653,0.5512092895441913
0.7429271469871261,0.6329099797144754
0.5912808347980893,0.45215353034844796
0.7076944643460387,0.379975456041009
0.6497924468330752,0.6296742028964557
0.7363951925757601,0.40995225530310053
0.6736557874469855,0.38380213233104726
0.6291133154739842,0.3884693754649044
0.6402245644869348,0.47968147876775347
0.6414783276960822,0.6247028511523554
0.7179424263417011,0.6628212554197424
0.6984942348686975,0.42586273804526087
0.2888786893477918,0.1420531016961518
0.5236550099619344,0.4193742864197625
0.7457420865085279,0.9072486933222899
0.6007841652874246,0.2856629192465573
